date_time;daylight_time;civil_twilight;sun_noon_01;daylight_01;civil_twilight_01
2014-12-03 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-03 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-03 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-03 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-03 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 06:00:00;0 days 00:00:00.000000000;0 days 00:14:03.000000000;0;0;1
2014-12-04 07:00:00;0 days 00:33:52.000000000;0 days 00:26:08.000000000;0;1;1
2014-12-04 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-04 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-04 15:00:00;0 days 00:25:50.000000000;0 days 00:34:10.000000000;0;1;1
2014-12-04 16:00:00;0 days 00:00:00.000000000;0 days 00:06:00.000000000;0;0;1
2014-12-04 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-04 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 06:00:00;0 days 00:00:00.000000000;0 days 00:12:50.000000000;0;0;1
2014-12-05 07:00:00;0 days 00:32:33.000000000;0 days 00:27:27.000000000;0;1;1
2014-12-05 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-05 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-05 15:00:00;0 days 00:25:19.000000000;0 days 00:34:41.000000000;0;1;1
2014-12-05 16:00:00;0 days 00:00:00.000000000;0 days 00:05:36.000000000;0;0;1
2014-12-05 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-05 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 06:00:00;0 days 00:00:00.000000000;0 days 00:11:39.000000000;0;0;1
2014-12-06 07:00:00;0 days 00:31:16.000000000;0 days 00:28:44.000000000;0;1;1
2014-12-06 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-06 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-06 15:00:00;0 days 00:24:52.000000000;0 days 00:35:08.000000000;0;1;1
2014-12-06 16:00:00;0 days 00:00:00.000000000;0 days 00:05:15.000000000;0;0;1
2014-12-06 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-06 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
